0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069
62.5 -16.5,9.458820039,9.404561682,9.4315927,9.449514242,9.440591285,9.440625247,9.445698353,9.447764561,9.448904668,9.451024445,9.453224196,9.455150833,9.457100121,9.459119064,9.461120435,9.463106063,9.465098971,9.467094903,9.469088388,9.471081465,9.473075265,9.475069055,9.477062653,9.479056285,9.481049963,9.483043625,9.485037276,9.487030934,9.489024594,9.491018251,9.493011909,9.495005567,9.496999225,9.498992883,9.50098654,9.502980198,9.504973856,9.506967514,9.508961172,9.51095483,9.512948487,9.514942145,9.516935803,9.518929461,9.520923119,9.522916777,9.524910434,9.526904092,9.52889775,9.530891408
62.5 -15.5,9.486857984,9.430353476,9.453391926,9.47621484,9.467039269,9.465944613,9.472092493,9.475018721,9.476180699,9.478628063,9.481380867,9.483706533,9.486007818,9.488440981,9.490860066,9.49324216,9.495634353,9.498035967,9.500433056,9.502828063,9.505224752,9.507621793,9.510018275,9.512414743,9.514811379,9.517207992,9.519604559,9.52200114,9.524397733,9.52679432,9.529190904,9.53158749,9.533984077,9.536380663,9.538777249,9.541173835,9.543570421,9.545967007,9.548363594,9.55076018,9.553156766,9.555553352,9.557949938,9.560346524,9.562743111,9.565139697,9.567536283,9.569932869,9.572329455,9.574726041
62.5 -14.5,9.495279544,9.440183607,9.45252752,9.485528242,9.476886894,9.47336694,9.48059017,9.485756788,9.487093307,9.48982679,9.493596469,9.496785787,9.499687672,9.502830236,9.506036053,9.509152666,9.512259326,9.515397743,9.518535241,9.52166211,9.524790697,9.527922666,9.5310536,9.534183525,9.537313935,9.540444623,9.54357511,9.546705528,9.549836025,9.552966534,9.556097015,9.559227495,9.562357985,9.565488474,9.56861896,9.571749446,9.574879934,9.578010421,9.581140908,9.584271395,9.587401882,9.590532369,9.593662856,9.596793343,9.59992383,9.603054317,9.606184804,9.609315291,9.612445779,9.615576266
62.5 -13.5,9.484574233,9.433256989,9.428710299,9.467151754,9.463625558,9.457930558,9.463514412,9.470648602,9.472692958,9.475053047,9.479061267,9.482868381,9.486062664,9.489405659,9.492949707,9.496423015,9.499828893,9.503267727,9.506727524,9.510173411,9.513613,9.517058286,9.520505287,9.523950055,9.527394418,9.530839633,9.53428491,9.537729873,9.541174843,9.544619927,9.548064997,9.551510027,9.554955066,9.558400119,9.561845167,9.56529021,9.568735256,9.572180303,9.575625349,9.579070395,9.582515441,9.585960488,9.589405534,9.59285058,9.596295626,9.599740672,9.603185718,9.606630764,9.610075811,9.613520857
62.5 -12.5,9.446697091,9.40194251,9.380104173,9.416505046,9.420882983,9.414502977,9.416844877,9.424480661,9.427608363,9.429459131,9.432912961,9.436816351,9.440047637,9.443174964,9.446554108,9.449958218,9.453264266,9.456568635,9.459909606,9.463248789,9.466574271,9.469901427,9.473233596,9.476564789,9.479894165,9.483224037,9.486554556,9.489884844,9.493214904,9.496545068,9.499875309,9.503205507,9.506535678,9.509865867,9.513196066,9.516526256,9.519856444,9.523186635,9.526516827,9.529847018,9.533177208,9.536507399,9.53983759,9.54316778,9.546497971,9.549828162,9.553158353,9.556488543,9.559818734,9.563148925
62.5 -11.5,9.384842989,9.353565475,9.315704463,9.347799832,9.359157219,9.354077192,9.353512281,9.361076784,9.365444827,9.367357712,9.370409881,9.374445728,9.377936515,9.381106436,9.384491948,9.387993627,9.391403305,9.394775046,9.398183621,9.401604904,9.405011198,9.408413553,9.411821848,9.415231325,9.41863845,9.422045261,9.42545299,9.428860787,9.432268228,9.435675664,9.439083236,9.442490803,9.445898317,9.449305837,9.452713376,9.456120913,9.459528441,9.462935972,9.466343505,9.469751038,9.473158569,9.476566101,9.479973633,9.483381165,9.486788697,9.490196229,9.493603761,9.497011293,9.500418825,9.503826357
62.5 -10.5,9.309249786,9.293328346,9.240003205,9.268420405,9.285831182,9.282491754,9.279569385,9.287263889,9.292818171,9.295050229,9.297989966,9.302340139,9.306242788,9.309669221,9.313277885,9.317070418,9.320775286,9.324417124,9.328095557,9.331796808,9.335482082,9.339159694,9.342843895,9.346530696,9.350214755,9.353897991,9.357582336,9.361266933,9.364951083,9.368635164,9.372319423,9.376003697,9.379687901,9.383372103,9.387056333,9.390740562,9.39442478,9.398108999,9.401793222,9.405477445,9.409161666,9.412845888,9.41653011,9.420214331,9.423898553,9.427582775,9.431266996,9.434951218,9.43863544,9.442319662
62.5 -9.5,9.235007819,9.222002656,9.158755191,9.18647735,9.208792778,9.205517498,9.200568679,9.208724724,9.215296935,9.217496452,9.22019969,9.224820458,9.229017577,9.232531106,9.236226332,9.240198049,9.244072751,9.247847137,9.251664198,9.255519761,9.2593554,9.263177193,9.267007617,9.270843119,9.274674828,9.278504765,9.282336311,9.286168471,9.28999995,9.293831226,9.297662786,9.30149441,9.305325916,9.309157405,9.312988941,9.316820481,9.320652002,9.324483523,9.328315051,9.332146579,9.335978104,9.339809629,9.343641156,9.347472682,9.351304208,9.355135734,9.35896726,9.362798786,9.366630312,9.370461838
62.5 -8.5,9.144028433,9.12652168,9.054902887,9.084373841,9.111832696,9.107900022,9.099895848,9.108654961,9.116711046,9.118654608,9.120611347,9.125437554,9.129996786,9.133432122,9.136979714,9.141022911,9.144986703,9.148750481,9.152551853,9.156438534,9.160304926,9.164136539,9.167977768,9.171833533,9.175684573,9.179529687,9.183377002,9.187226759,9.191075481,9.194923213,9.198771419,9.202620028,9.206468419,9.210316649,9.214164977,9.218013369,9.221861718,9.22571004,9.229558383,9.233406735,9.237255079,9.241103419,9.244951763,9.248800108,9.252648452,9.256496795,9.260345138,9.264193482,9.268041826,9.271890169
62.5 -7.5,8.983295294,8.96156857,8.906543674,8.932549364,8.954569273,8.951279429,8.945984039,8.953688348,8.960510757,8.962661468,8.964945207,8.969373325,8.973566834,8.976936455,8.980397086,8.984215012,8.987974274,8.991591986,8.995235781,8.998939109,9.002628897,9.0062948,9.00996685,9.013648765,9.017327743,9.02100275,9.024679083,9.028357037,9.032034381,9.035711075,9.03938804,9.043065269,9.046742376,9.050419377,9.054096432,9.05777353,9.061450603,9.06512766,9.068804728,9.072481801,9.076158871,9.079835938,9.083513006,9.087190076,9.090867145,9.094544214,9.098221283,9.101898352,9.105575421,9.109252489
62.5 -6.5,8.795045573,8.772899246,8.752616193,8.770327554,8.779781398,8.778534209,8.77931323,8.784752088,8.788811649,8.791421752,8.794502183,8.798153318,8.801574373,8.804809901,8.808131676,8.811522059,8.814875214,8.818205779,8.82155065,8.824903492,8.828250515,8.831594936,8.834941596,8.838289134,8.841635791,8.84498217,8.848328886,8.85167569,8.855022364,8.858369012,8.861715709,8.865062414,8.8684091,8.871755784,8.875102476,8.878449167,8.881795856,8.885142545,8.888489235,8.891835925,8.895182614,8.898529304,8.901875994,8.905222683,8.908569373,8.911916062,8.915262752,8.918609442,8.921956131,8.925302821
